"Source:","C:\Users\auria\OneDrive\Documents\Projet_manette\Projet_manette_proto\Projet_manette_proto.kicad_sch"
"Date:","11/04/2023 11:44:00"
"Tool:","Eeschema (7.0.0)"
"Generator:","D:\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","39"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","Antenna_nRF1","~","Antenna_nRF24_2_4GHz:Antenna_nRF_2_4GHz","RF_Antenna:Texas_SWRA117D_2.4GHz_Right","https://www.ti.com/lit/an/swra117d/swra117d.pdf","",""
"2","7","C1, C2, C3, C4, C5, C6, C7","C_Small","Device:C_Small","","~","",""
"3","1","D1","LED_Small","Device:LED_Small","","~","",""
"4","1","J1","Conn_01x02","Connector_Generic:Conn_01x02","","~","",""
"5","3","L1, L2, L3","L_Small","Device:L_Small","","~","",""
"6","11","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11","R_Small","Device:R_Small","","~","",""
"7","10","SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10","SW_Push","Switch:SW_Push","","~","",""
"8","1","SW11","SW_DIP_x01","Switch:SW_DIP_x01","","~","",""
"9","1","U1","STM32L412KBTx","MCU_ST_STM32L4:STM32L412KBTx","Package_QFP:LQFP-32_7x7mm_P0.8mm","https://www.st.com/resource/en/datasheet/stm32l412kb.pdf","",""
"10","1","U2","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","",""
"11","1","U3","NRF24L01","RF:NRF24L01","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf","",""
"12","1","Y1","Crystal_Small","Device:Crystal_Small","","~","",""
